"","Year","toc","fromc"
"1",1981,1800,50
"2",1982,150,100
"3",1985,400,60
"4",1986,240,50
"5",1987,680,50
"6",1988,720,35
"7",1989,700,66
"8",1990,570,494
"9",1991,510,740
"10",1992,478,914
"11",1993,310,1049
"12",1994,333,1380
"13",1995,224,1906
"14",1996,220,2175
"15",1997,223,2377
"16",1998,226,3540
"17",1999,233,5662
"18",2000,516,539601
"19",2001,238,753570
"20",2002,218,1052657
"21",2003,319,1331600
"22",2004,177,2095328
"23",2005,205,2540109
"24",2006,235,3561757
"25",2007,273,3594859
"26",2008,263,3426198
"27",2009,323,3758127
"28",2010,390,4128020
"29",2011,351,4326869
"30",2012,308,4356277
"31",2013,307,5780516
"32",2014,395,6409190
"33",2015,353,7287877
"34",2016,655,7734658
"35",2017,69513,7901875
"36",2018,1174683,8024596
